iter	Passed	Remaining
0	114	57319
1	202	50424
2	288	47808
3	375	46613
4	462	45765
5	550	45288
6	633	44648
7	718	44168
8	805	43950
9	896	43947
10	983	43739
11	1068	43456
12	1153	43203
13	1240	43075
14	1327	42908
15	1413	42762
16	1498	42568
17	1582	42376
18	1667	42220
19	1753	42091
20	1837	41915
21	1928	41890
22	2012	41738
23	2098	41622
24	2185	41516
25	2275	41476
26	2452	42956
27	2535	42746
28	2623	42607
29	2711	42483
30	2800	42362
31	2895	42346
32	2986	42259
33	3075	42148
34	3165	42055
35	3261	42033
36	3359	42037
37	3454	41996
38	3548	41943
39	3640	41867
40	3728	41740
41	3819	41654
42	3915	41610
43	4006	41516
44	4103	41489
45	4201	41467
46	4292	41374
47	4384	41290
48	4475	41189
49	4565	41092
